,Mediana,Promedio,Variaciï¿½n Mensual del Promedio
8/1/2006,10,13.7323154157,
9/30/2006,10,11.8859146675,-13.4457%
10/1/2006,10,11.7282029256,-1.3269%
11/1/2006,10,12.7266854551,8.5135%
12/1/2006,10,13.8634469293,8.9321%
1/1/2007,10,13.7639614817,-0.7176%
2/1/2007,10,13.18115168,-4.2343%
3/1/2007,10,13.4905516122,2.3473%
4/1/2007,15,15.4416379948,14.4626%
5/1/2007,15,18.9653355342,22.8195%
6/1/2007,15,18.9066652261,-0.3094%
7/1/2007,15,20.8981962589,10.5335%
8/1/2007,20,22.7559794592,8.8897%
9/1/2007,20,22.9571970533,0.8842%
10/1/2007,20,25.225440727,9.8803%
11/1/2007,20,22.3725261889,-11.3097%
12/1/2007,20,23.2651408149,3.9898%
1/1/2008,20,22.5049850466,-3.2674%
2/1/2008,20,23.3012510423,3.5382%
3/1/2008,25,31.1219194604,33.5633%
4/1/2008,25,32.8165537081,5.4451%
5/1/2008,30,36.479644835,11.1623%
6/1/2008,30,34.7189662425,-4.8265%
7/1/2008,30,32.5925647291,-6.1246%
8/1/2008,25,30.7240197971,-5.7330%
9/1/2008,30,31.9947266882,4.1359%
10/1/2008,25,34.1534632364,6.7472%
11/1/2008,25,31.9272138963,-6.5184%
12/1/2008,20,23.4502109682,-26.5510%
1/1/2009,20,28.5683332249,21.8255%
2/1/2009,25,32.7575198104,14.6637%
3/1/2009,20,31.0518320682,-5.2070%
4/1/2009,20,28.6475076212,-7.7429%
5/1/2009,20,29.8804223716,4.3037%
6/1/2009,20,31.4527397644,5.2620%
7/1/2009,20,30.050719126,-4.4575%
8/1/2009,25,34.0909851937,13.4448%
9/1/2009,20,29.3159794784,-14.0067%
10/1/2009,20,31.4596291493,7.3122%
11/1/2009,22.5,29.5681071808,-6.0125%
12/1/2009,25,32.9836863445,11.5516%
1/1/2010,20,30.7094054536,-6.8952%
2/1/2010,25,31.076806033,1.1964%
3/1/2010,25,31.8345163989,2.4382%
4/1/2010,30,32.385932047,1.7321%
5/1/2010,25,30.2487180181,-6.5992%
6/1/2010,25,32.5275925382,7.5338%
7/1/2010,25,32.518056786,-0.0293%
8/1/2010,25,32.821795522,0.9341%
9/1/2010,25,31.3728261952,-4.4147%
10/1/2010,30,33.6992752317,7.4155%
11/1/2010,30,34.0164207086,0.9411%
12/1/2010,30,35.141475976,3.3074%
1/1/2011,25,30.7317245064,-12.5486%
2/1/2011,30,33.2920471824,8.3312%
3/1/2011,25,32.7752956657,-1.5522%
4/1/2011,25,30.2751867422,-7.6280%
5/1/2011,25,29.4939769077,-2.5804%
6/1/2011,25,32.500401342,10.1934%
7/1/2011,25,28.3963342209,-12.6277%
8/1/2011,25,29.1731137677,2.7355%
9/1/2011,25,29.0811636576,-0.3152%
10/1/2011,25,29.8239847335,2.5543%
11/1/2011,25,30.1617813631,1.1326%
12/1/2011,25,34.4026595606,14.0604%
1/1/2012,25,28.9194279771,-15.9384%
2/1/2012,25,30.7102269468,6.1924%
3/1/2012,30,35.0114448253,14.0058%
4/1/2012,30,37.1254186683,6.0380%
5/1/2012,30,33.8893695823,-8.7165%
6/1/2012,30,34.8840669588,2.9351%
7/1/2012,30,35.7419679508,2.4593%
8/1/2012,30,39.8363532095,11.4554%
9/1/2012,30,34.8840669588,-12.4316%
10/1/2012,27,35.1448399756,0.7475%
11/1/2012,30,37.3544906594,6.2873%
12/1/2012,30,37.1711962913,-0.4907%
1/1/2013,30,35.3387085414,-4.9299%
2/1/2013,30,33.0158932122,-6.5730%
3/1/2013,30,33.4504761316,1.3163%
4/1/2013,30,34.2047047399,2.2548%
5/1/2013,30,34.925913459,2.1085%
6/1/2013,30,35.2848139617,1.0276%
7/1/2013,30,34.5813222168,-1.9938%
8/1/2013,30,31.4658266921,-9.0092%
9/1/2013,30,32.8256149359,4.3215%
10/1/2013,28,31.250247662,-4.7992%
11/1/2013,30,32.7299843543,4.7351%
12/1/2013,30,35.3054300412,7.8688%
1/1/2014,30,37.5971698157,6.4912%
2/1/2014,35,41.3186928726,9.8984%
3/1/2014,30,38.6354873433,-6.4939%
4/1/2014,30,37.5390906367,-2.8378%
5/1/2014,30,38.56671877,2.7375%
6/1/2014,30,35.2444520066,-8.6143%
7/1/2014,30,37.3816159894,6.0638%
8/1/2014,30,36.9843302743,-1.0628%
9/1/2014,35,41.0970607826,11.1202%
10/1/2014,35,39.1004850799,-4.8582%
11/1/2014,30,37.5540110276,-3.9551%
12/1/2014,30,35.8321987697,-4.5849%
1/1/2015,30,31.2954455477,-12.6611%
2/1/2015,30,29.618846994,-5.3573%
3/1/2015,30,29.5689435271,-0.1685%
4/1/2015,30,30.5603568147,3.3529%
5/1/2015,28,27.5040202962,-10.0010%
6/1/2015,30,30.539026633,11.0348%
7/1/2015,25,27.6953847028,-9.3115%
8/1/2015,22,26.2754795481,-5.1269%
9/1/2015,30,30.7318661329,16.9602%
10/1/2015,25,27.464381588,-10.6322%
11/1/2015,20,22.1532643673,-19.3382%
12/1/2015,30,30.5232259032,37.7821%
1/1/2016,25,26.8934882402,-11.8917%
2/1/2016,30,33.6486377408,25.1182%
3/1/2016,30,31.3928948843,-6.7038%
4/1/2016,30,35.951784482,14.5220%
5/1/2016,28,32.3939148997,-9.8962%
6/1/2016,25,32.9358692643,1.6730%
7/1/2016,25,29.7850316615,-9.5666%
8/1/2016,25,30.8580261045,3.6025%
9/1/2016,20,29.8389671562,-3.3024%
10/1/2016,20,27.6217981007,-7.4304%
11/1/2016,25,30.4404635186,10.2045%
12/1/2016,25,28.8629447002,-5.1823%
1/1/2017,25,29.2283775353,1.2661%
2/1/2017,25,31.2151674562,6.7975%
3/1/2017,25,31.3136999312,0.3157%
4/1/2017,20,27.4238135015,-12.4223%
5/1/2017,21,27.9484089284,1.9129%
6/1/2017,20,27.2578096452,-2.4710%
7/1/2017,20,29.3052829427,7.5115%
8/1/2017,20,27.9154857158,-4.7425%
9/1/2017,20,25.1206331683,-10.0118%
10/1/2017,20,27.6621771826,10.1174%
11/1/2017,20,24.7308078228,-10.5970%
12/1/2017,20,29.1434357419,17.8426%
1/1/2018,20,28.4343624722,-2.4330%
2/1/2018,20,27.021443362,-4.9691%
3/1/2018,20,29.217692108,8.1278%
4/1/2018,25,33.1138405183,13.3349%
5/1/2018,25,33.3395195469,0.6815%
6/1/2018,30,35.8263425979,7.4591%
7/1/2018,30,32.1600777006,-10.2334%
8/1/2018,30,35.2513598614,9.6122%
9/1/2018,30,40.3510119703,14.4665%
10/1/2018,40,39.9013708324,-1.1143%
11/1/2018,30,38.3364529717,-3.9220%
12/1/2018,30,35.6823682958,-6.9231%
1/1/2019,30,39.2313478057,9.9460%
2/1/2019,30,36.8511393506,-6.0671%
3/1/2019,40,40.8389698579,10.8215%
4/1/2019,40,40.5956967368,-0.5957%
5/1/2019,30,36.6279880637,-9.7737%
6/2/2019,30,34.4980173258,-5.8151%
7/2/2019,30,31.9066367895,-7.5117%
8/2/2019,30,34.700338527,8.7559%
9/2/2019,30,33.1496931682,-4.4687%
10/2/2019,30,31.2389829059,-5.7639%
11/2/2019,30,32.7002356124,4.6777%
12/2/2019,30,31.6127784698,-3.3255%
1/2/2020,30,31.8443876663,0.7326%
2/2/2020,30,35.7916388059,12.3954%
3/2/2020,30,33.7640280451,-5.6650%
4/2/2020,40,40.2740435197,19.2809%
5/1/2020,50,47.4164597864,17.7345%
6/1/2020,40,44.5483969224,-6.0487%
7/1/2020,40,43.0676048982,-3.3240%
8/1/2020,40,44.9999071371,4.4867%
9/1/2020,40,43.3155409627,-3.7430%
10/1/2020,45,46.9597382067,8.4131%
11/1/2020,40,44.4815378032,-5.2773%
12/1/2020,40,42.8545278079,-3.6577%
1/1/2021,45,44.1394138832349,2.9983%
2/1/2021,45,45.2380698542436,2.4891%
3/1/2021,50,46.3398704049969,2.4356%
4/1/2021,50,47.8979657057393,3.3623%
